file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00002_03902.600-03904.450,ཞི་བོ་གཅིག་ཡོད་ས་རེད། འོ་དེ་འདྲའི་ཡིན་པ་ཡིན་དུས་ ,zhi bo gcig yod sa red/_'o de 'dra'i yin pa yin dus _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00002_03902.600-03904.450.wav,STT_TT,3,49,1.849999999999909,wav16k/STT_TT00002_03902.600-03904.450.wav,ཞེ་བོ་གཅིག་ཡོད་ས་རེད། ཨོ་དེ་འདྲས་ཡིན་པ་ཡིན་དུས།
STT_TT00002_03905.650-03907.650,ཨོ་བྱང་ཆུབ་ཐུགས་ཀྱིས་འགྲོ་རྣམས་མི་གཏོང་བ། ཟེར་ ,o byang chub thugs kyis 'gro rnams mi gtong ba/_zer _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00002_03905.650-03907.650.wav,STT_TT,3,47,2.0,wav16k/STT_TT00002_03905.650-03907.650.wav,ཨེ། བྱང་ཆུབ་ཐུགས་ཀྱི་འགྲོ་རྣམས་མི་གཏོང་བ་ཟེ།
STT_TT00002_03908.000-03910.250,བློ་ལྡན་སྙིང་རྗེ་ཅན་ལ་ཕྱག་འཚལ་ལོ། ཞེ་གསུངས་པ་ལྟར་ ,blo ldan snying rje can la phyag 'tshal lo/_zhe gsungs pa ltar _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00002_03908.000-03910.250.wav,STT_TT,3,50,2.25,wav16k/STT_TT00002_03908.000-03910.250.wav,བློ་ལྡན་སྙིང་རྗེ་ཅན་ལ་ཕྱག་འཚལ་ལོ། ཞེས་གསུངས་པ་ལྟར།
STT_TT00059_07959.150-07963.250,སྡུག་བསྔལ་གང་གིས་མནར་བའི་སྡུག་བསྔལ་འདི། ངོ་འཕྲོད་པ་ཅིག་དགོས་ཀི་ཡོད་པ་ཡིན་དུས།  ,sdug bsngal gang gis mnar ba'i sdug bsngal 'di/_ngo 'phrod pa cig dgos ki yod pa yin dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00059_07959.150-07963.250.wav,STT_TT,3,79,4.100000000000364,wav16k/STT_TT00059_07959.150-07963.250.wav,སྡུག་བསྔལ་གང་གིས་མནར་བའི་སྡུག་བསྔལ་འདི། ངོ་འཕྲོད་པ་ཅིག་དགོས་ཀི་ཡོད་པ་ཡིན་དུས།
STT_TT00059_07963.450-07971.150,ད་འདུ་བྱེད་ཀི་སྡུག་བསྔལ་ངོ་སྤྲོད་བྱེད་ཡ། ཇོ་བོ་སེམས་ཅན་གྱི་སྟེང་ལ། སྔན་ལ་ངོ་སྤྲད། བསྒོམས་པ་ལས། རང་སྟེང་ལ་བསྒོམས་ན། བློ་ལ་འཆར་བདེ་གི་རེད་བཱ།  ,da 'du byed ki sdug bsngal ngo sprod byed ya/_jo bo sems can gyi steng la/_sngan la ngo sprad/_bsgoms pa las/_rang steng la bsgoms na/_blo la 'char bde gi red bA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00059_07963.450-07971.150.wav,STT_TT,3,141,7.699999999999818,wav16k/STT_TT00059_07963.450-07971.150.wav,ད་འདུ་བྱེད་ཀི་སྡུག་བསྔལ་ངོ་སྤྲོད་བྱེད་ཡ། ཇོ་བོ་སེམས་ཅན་གི་སྟེང་ལ།སྔན་ལ་ངོ་སྤྲད། སྒོམ་པ་ལས། རང་སྟེང་ལ་བསྒོམ་ན། བློ་ལ་འཆར་བསད་ཀི་རེད་བ།
STT_TT00059_08067.900-08069.650,ད་འདི་སྒང་ལ། འདུག་སེ་བསམ་བློ་གཏང་པ་ཡིན་ན།  ,da 'di sgang la/_'dug se bsam blo gtang pa yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00059_08067.900-08069.650.wav,STT_TT,3,43,1.75,wav16k/STT_TT00059_08067.900-08069.650.wav,ཨོ་ད་འདིའི་སྒང་ལ་ འདུག་སེ་བསམ་བློ་བཏང་པ་ཡིན་ན།
STT_TT00059_08069.850-08073.000,བློའི་འགྲོ་སྟངས་ཁོ། རིམ་གྱིས། རིམ་གྱིས། རིམ་གྱིས་ཡར་བློ་སྦྱང་དགོས་ཡ་ཅིག ,blo'i 'gro stangs kho/_rim gyis/_rim gyis/_rim gyis yar blo sbyang dgos ya cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00059_08069.850-08073.000.wav,STT_TT,3,72,3.149999999999636,wav16k/STT_TT00059_08069.850-08073.000.wav,བློའི་འགྲོ་སྟངས་ཁོ་རིམ་གྱིས་རིམ་གྱིས་རིམ་གྱིས་ཡ་བློ་སྦྱང་དགོས་ཡ་ཅིག
STT_TT00059_08074.800-08075.700,ད་དེ་ཨོ། བསྟན་པ་སྤྱི་ ,da de o/_bstan pa spyi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00059_08074.800-08075.700.wav,STT_TT,3,22,0.8999999999996362,wav16k/STT_TT00059_08074.800-08075.700.wav,ད་དེ་ཨོ། བསྟན་པ་སྤྱི།
STT_TT00059_08076.150-08078.650,སྤྱི་བཙན་སེ་བྱས་ནས། སྤྱིའི་འགྲོ་སྟངས་འདྲ་པོ་བཤད་པ་ཡིན་ན། ད་འདི་ཡིན་པ་རེད།  ,spyi btsan se byas nas/_spyi'i 'gro stangs 'dra po bshad pa yin na/_da 'di yin pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00059_08076.150-08078.650.wav,STT_TT,3,75,2.5,wav16k/STT_TT00059_08076.150-08078.650.wav,སྤྱི་བཚན་ཟེ་བྱས་ནས། སྤྱིའི་འགྲོ་སྟངས་འདྲ་བོ་བཤད་པ་ཡིན་ན། ད་དེ་འདྲའི་ཡིན་པ་རེད།
STT_TT00059_08081.200-08082.550,ད་མི་རྟོགས་པ་མཐོན་པོ་གཅིག་གིས་ ,da mi rtogs pa mthon po gcig gis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00059_08081.200-08082.550.wav,STT_TT,3,31,1.3500000000003638,wav16k/STT_TT00059_08081.200-08082.550.wav,ད་མི།་རྟོགས་པ་མཐོན་པོ་ཅིག་གི་
